,Cabo San Lucas,Mexicali,Hermosillo,Ciudad Juarez,Saltillo,Monterrey,Ciudad Victoria,Culiacan,Durango,Zacatecas,San Luis Potosi,Tepic,Aguascalientes,Guadalajara,Guanajuato,Queretaro,Pachuca,Xalapa,Colima,Morelia,Toluca,Ciudad de Mexico,Cuernavaca,Puebla,Tlaxcala,Chilpancingo,Oaxaca,Tuxtla Gutierrez,Villahermosa,Campeche,Merida,Chetumal
Cabo San Lucas,0,1508.087,922.762,1674.377,1589.837,1669.579,1947.307,655.13,2105.31,1376.706,1560.728,1107.217,1488.877,1313.252,1583.532,1657.976,1865.295,2106.963,1474.411,1597.477,1780.434,1861.328,1916.334,1976.717,1954.317,2104.878,2303.89,2671.619,2591.897,2975.144,3152.748,3166.698
Mexicali,1508.087,0,696.121,1005.09,1922.922,2157.763,2601.358,1400.19,1107.779,2027.641,2211.663,1852.277,2139.812,2058.312,2328.592,2403.036,2610.355,2852.023,2219.471,2342.537,2525.494,2606.388,2661.394,2721.777,2699.377,2849.938,3048.95,3416.679,3336.957,3720.204,3897.808,3911.758
Hermosillo,922.762,696.121,0,747.487,1633.504,1713.246,1990.974,698.797,1178.42,1420.373,1604.395,1150.884,1532.544,1356.919,1627.199,1701.643,1908.962,2150.63,1518.078,1641.144,1824.101,1904.995,1960.001,2020.384,1997.984,2148.545,2347.557,2715.286,2635.564,3018.811,3196.415,3210.365
Ciudad Juarez,1674.377,1005.09,747.487,0,1098.261,1178.003,1455.731,1439.793,789.225,1202.98,1387.002,1447.874,1315.151,1549.159,1508.115,1615.283,1831.218,2072.887,1742.238,1643.039,1802.866,1826.748,1906.079,1942.64,1920.24,2094.623,2269.813,2637.542,2557.82,2941.067,3118.671,3132.621
Saltillo,1589.837,1922.922,1633.504,1098.261,0,87.099,364.827,959.639,1881.904,384.836,447.137,967.72,492.942,726.95,616.72,643.086,850.119,1091.788,920.029,761.998,822.277,845.649,924.98,961.541,939.141,1113.524,1288.714,1565.298,1485.576,1868.823,2046.427,2060.377
Monterrey,1669.579,2157.763,1713.246,1178.003,87.099,0,283.947,1040.491,1790.619,465.254,515.177,1048.572,573.36,807.368,684.76,711.126,918.159,974.751,1000.447,830.038,890.317,913.689,993.02,1029.581,1007.181,1181.564,1356.754,1484.418,1404.696,1787.943,1965.547,1979.497
Ciudad Victoria,1947.307,2601.358,1990.974,1455.731,364.827,283.947,0,1262.921,2221.152,518.062,334.712,865.995,501.218,664.892,504.295,530.661,614.068,703.633,857.971,649.573,709.852,686.5,812.555,688.719,647.361,1001.099,1022.106,1213.3,1133.578,1516.825,1694.429,1708.379
Culiacan,655.13,1400.19,698.797,1439.793,959.639,1040.491,1262.921,0,1872.177,753.69,937.712,484.201,865.861,690.236,960.516,1034.96,1242.279,1483.947,851.395,974.461,1157.418,1238.312,1293.318,1353.701,1331.301,1481.862,1680.874,2048.603,1968.881,2352.128,2529.732,2543.682
Durango,2105.31,1107.779,1178.42,789.225,1881.904,1790.619,2221.152,1872.177,0,1994.827,2178.849,2239.721,2106.998,2341.006,2299.962,2407.13,2623.065,2853.415,2534.085,2434.886,2594.713,2618.595,2697.926,2734.487,2712.087,2886.47,3061.66,3363.082,3283.36,3666.607,3844.211,3858.161
Zacatecas,1376.706,2027.641,1420.373,1202.98,384.836,465.254,518.062,753.69,1994.827,0,189.918,553.519,118.408,352.416,311.372,418.54,634.475,876.144,545.495,446.296,606.123,630.005,709.336,745.897,723.497,897.88,1073.07,1440.799,1361.077,1744.324,1921.928,1935.878
San Luis Potosi,1560.728,2211.663,1604.395,1387.002,447.137,515.177,334.712,937.712,2178.849,189.918,0,529.551,164.774,328.448,189.63,215.996,423.029,664.698,521.527,334.908,395.187,418.559,497.89,534.451,512.051,686.434,861.624,1229.353,1149.631,1532.878,1710.482,1724.432
Tepic,1107.217,1852.277,1150.884,1447.874,967.72,1048.572,865.995,484.201,2239.721,553.519,529.551,0,421.32,205.288,475.568,550.012,757.331,998.999,366.447,489.513,672.47,753.364,808.37,868.753,846.353,996.914,1195.926,1563.655,1483.933,1867.18,2044.784,2058.734
Aguascalientes,1488.877,2139.812,1532.544,1315.151,492.942,573.36,501.218,865.861,2106.998,118.408,164.774,421.32,0,220.642,179.598,286.766,502.701,744.37,413.721,314.522,474.349,498.231,577.562,614.123,591.723,766.106,941.296,1309.025,1229.303,1612.55,1790.154,1804.104
Guadalajara,1313.252,2058.312,1356.919,1549.159,726.95,807.368,664.892,690.236,2341.006,352.416,328.448,205.288,220.642,0,274.838,349.282,556.601,798.269,194.994,288.783,471.74,552.634,607.64,668.023,645.623,796.184,995.196,1362.925,1283.203,1666.45,1844.054,1858.004
Guanajuato,1583.532,2328.592,1627.199,1508.115,616.72,684.76,504.295,960.516,2299.962,311.372,189.63,475.568,179.598,274.838,0,148.389,364.324,605.993,465.554,176.145,335.972,359.854,439.185,475.746,453.346,627.729,802.919,1170.648,1090.926,1474.173,1651.777,1665.727
Queretaro,1657.976,2403.036,1701.643,1615.283,643.086,711.126,530.661,1034.96,2407.13,418.54,215.996,550.012,286.766,349.282,148.389,0,223.371,465.04,537.917,190.895,195.529,218.901,298.232,334.793,312.393,486.776,661.966,1029.695,949.973,1333.22,1510.824,1524.774
Pachuca,1865.295,2610.355,1908.962,1831.218,850.119,918.159,614.068,1242.279,2623.065,634.475,423.029,757.331,502.701,556.601,364.324,223.371,0,278.013,747.082,320.579,159.395,92.124,179.562,147.767,125.367,368.106,474.94,842.669,762.947,1146.194,1323.798,1337.748
Xalapa,2106.963,2852.023,2150.63,2072.887,1091.788,974.751,703.633,1483.947,2853.415,876.144,664.698,998.999,744.37,798.269,605.993,465.04,278.013,0,985.991,559.488,354.825,293.503,331,173.345,176.276,455.669,425.197,645.234,565.512,948.759,1126.363,1140.313
Colima,1474.411,2219.471,1518.078,1742.238,920.029,1000.447,857.971,851.395,2534.085,545.495,521.527,366.447,413.721,194.994,465.554,537.917,747.082,985.991,0,478.718,661.675,742.569,797.575,857.958,835.558,986.119,1185.131,1552.86,1473.138,1856.385,2033.989,2047.939
Morelia,1597.477,2342.537,1641.144,1643.039,761.998,830.038,649.573,974.461,2434.886,446.296,334.908,489.513,314.522,288.783,176.145,190.895,320.579,559.488,478.718,0,233.604,314.498,369.504,429.887,407.487,558.048,757.06,1124.789,1045.067,1428.314,1605.918,1619.868
Toluca,1780.434,2525.494,1824.101,1802.866,822.277,890.317,709.852,1157.418,2594.713,606.123,395.187,672.47,474.349,471.74,335.972,195.529,159.395,354.825,661.675,233.604,0,63.621,135.113,194.932,180.474,323.657,522.105,889.834,810.112,1193.359,1370.963,1384.913
Ciudad de Mexico,1861.328,2606.388,1904.995,1826.748,845.649,913.689,686.5,1238.312,2618.595,630.005,418.559,753.364,498.231,552.634,359.854,218.901,92.124,293.503,742.569,314.498,63.621,0,86.726,135.218,120.76,275.27,462.391,830.12,750.398,1133.645,1311.249,1325.199
Cuernavaca,1916.334,2661.394,1960.001,1906.079,924.98,993.02,812.555,1293.318,2697.926,709.336,497.89,808.37,577.562,607.64,439.185,298.232,179.562,331,797.575,369.504,135.113,86.726,0,156.712,190.154,186.329,497.971,865.7,785.978,1169.225,1346.829,1360.779
Puebla,1976.717,2721.777,2020.384,1942.64,961.541,1029.581,688.719,1353.701,2734.487,745.897,534.451,868.753,614.123,668.023,475.746,334.793,147.767,173.345,857.958,429.887,194.932,135.218,156.712,0,39.32,279.758,339.332,707.062,627.34,1010.587,1188.191,1202.141
Tlaxcala,1954.317,2699.377,1997.984,1920.24,939.141,1007.181,647.361,1331.301,2712.087,723.497,512.051,846.353,591.723,645.623,453.346,312.393,125.367,176.276,835.558,407.487,180.474,120.76,190.154,43.409,0,313.885,371.961,739.69,659.968,1043.215,1220.819,1234.769
Chilpancingo,2104.878,2849.938,2148.545,2094.623,1113.524,1181.564,1001.099,1481.862,2886.47,897.88,686.434,996.914,766.106,796.184,627.729,486.776,368.106,455.669,986.119,558.048,323.657,275.27,186.329,279.758,313.885,0,621.4,989.129,909.407,1292.654,1470.258,1484.208
Oaxaca,2303.89,3048.95,2347.557,2269.813,1288.714,1356.754,1022.106,1680.874,3061.66,1073.07,861.624,1195.926,941.296,995.196,802.919,661.966,474.94,425.197,1185.131,757.06,522.105,462.391,497.971,339.332,371.961,621.4,0,560.677,797.454,1180.701,1358.305,1372.255
Tuxtla Gutierrez,2671.619,3416.679,2715.286,2637.542,1565.298,1484.418,1213.3,2048.603,3363.082,1440.799,1229.353,1563.655,1309.025,1362.925,1170.648,1029.695,842.669,645.234,1552.86,1124.789,889.834,830.12,865.7,707.062,739.69,989.129,560.677,0,243.676,626.922,804.526,818.477
Villahermosa,2591.897,3336.957,2635.564,2557.82,1485.576,1404.696,1133.578,1968.881,3283.36,1361.077,1149.631,1483.933,1229.303,1283.203,1090.926,949.973,762.947,565.512,1473.138,1045.067,810.112,750.398,785.978,627.34,659.968,909.407,797.454,243.676,0,381.89,559.494,574.807
Campeche,2975.144,3720.204,3018.811,2941.067,1868.823,1787.943,1516.825,2352.128,3666.607,1744.324,1532.878,1867.18,1612.55,1666.45,1474.173,1333.22,1146.194,948.759,1856.385,1428.314,1193.359,1133.645,1169.225,1010.587,1043.215,1292.654,1180.701,626.922,381.89,0,178.829,418.485
Merida,3152.748,3897.808,3196.415,3118.671,2046.427,1965.547,1694.429,2529.732,3844.211,1921.928,1710.482,2044.784,1790.154,1844.054,1651.777,1510.824,1323.798,1126.363,2033.989,1605.918,1370.963,1311.249,1346.829,1188.191,1220.819,1470.258,1358.305,804.526,559.494,178.829,0,382.869
Chetumal,3166.698,3911.758,3210.365,3132.621,2060.377,1979.497,1708.379,2543.682,3858.161,1935.878,1724.432,2058.734,1804.104,1858.004,1665.727,1524.774,1337.748,1140.313,2047.939,1619.868,1384.913,1325.199,1360.779,1202.141,1234.769,1484.208,1372.255,818.477,574.807,418.485,382.869,0
